cid,text,time,author,channel,votes,photo,heart
UgwJq5JIdGyl8t_FZyl4AaABAg,she is back,6 days ago,i learned today,UCbTEE0lz6nYl0GJiZw0m8EA,104,https://yt3.ggpht.com/ytc/AKedOLRIJwbPEzXMVF64VHe1XW4jKICNAsJ_U0VBcFy7IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgArV7sBCK_FRREIh4AaABAg,I knew I recognised her from the Functional Programming talk I saw years ago! It's one of the first talks I ever saw and it drove me to learn more JS! Go Anjana!,6 days ago,Eddy Vinck,UCXhcecEyI1QrDvpTZiwZyFQ,162,https://yt3.ggpht.com/ytc/AKedOLQ2sc11Uybz4Mts4oLznpbh1qfdJGidLRVXhaB5Mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTzoUZZ7syfwzSmoJ4AaABAg,Brilliant talk. Please keep the code being talked about on the screen!,3 days ago,Rolland Bryan,UCroG7GWkEDYlP4aJjaX-88w,12,https://yt3.ggpht.com/ytc/AKedOLQmuKYoMxRAeUNLVPRpVE84LEzcjNph81YkdQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHD8itP8bQaZ7dD5R4AaABAg,"Very good intro. And yes you're totally right, generators are underused. Very much appreciate your talk!",6 days ago,Tim Jagodzinski,UCakAB-EynAxF-2vM0lY4XjQ,14,https://yt3.ggpht.com/ytc/AKedOLRnfsgv7ldG7sFmSbNVsuzMif95VDwLgRWiEVKObkU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdgdXzDhLu_kdRXR14AaABAg,"Such a nice talk, it's a shame that the person that editted it made a lot of cuts when code was presented and instead showed audience from the back...",6 days ago,Damian S.,UC9EJq4g3WeSKw-5Vx1xMW6w,53,https://yt3.ggpht.com/ytc/AKedOLQm6wQaslRtmfLn3y7TDyyWeeFzAtt2MY4h3WrnUA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9zW75dn4q3vid9GB4AaABAg,I love her energy. Great presentation too! I've always struggled understanding generators.,4 days ago,PlayStreams,UCfaZihOsU5as-G5cnXkweUw,11,https://yt3.ggpht.com/960r9oBvK00ssH82S_Ourks_6UodjCJnIiIB5LzVdCxsvDj4oIWS7aCVI2oZFmzKM9dFFZhDYw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmkOQfyuX1Y5sTOJt4AaABAg,"This is a great talk! However I always think back to the JS platform docs at my second job (at a very  large company).... "" Generators: Don't use generators."" 
And it still makes sense because no matter what you do you'll always end up with code that's ""too clever"".",3 days ago,phanCAbe,UCiLWiC8yCFMTZIR9BqgE6fA,9,https://yt3.ggpht.com/ytc/AKedOLSELFMIxG2ChCDLNVpgTyd-MA3tXspEHiJzwA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxf-eYtbW7552v64Th4AaABAg,Taking from infinite sequences absolutely blew my mind! Thanks for sharing 😊,2 days ago,Kevin Andrews,UC4prqSUNA3ZX-3UWTrXdYzA,1,https://yt3.ggpht.com/ytc/AKedOLSorvx0XXc3EfKxITL2eVwEgK9LUxihWZLbQQ47_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzI7MJI1Cok8_HrNWJ4AaABAg,"It was so exciting it ended in a blink of an eye. Thanks Anjana, generators have big potential. I’m gonna experiment with them, doing state manager and renderer.",5 days ago,Alex Chugaev,UCI26kw6B8EU55agm2O37_-g,0,https://yt3.ggpht.com/ytc/AKedOLRpqj3iBPBBnx5TANK3Pj7GU7V3tRsEQnICwHL2-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-aKm7nVnA3QJ1E8t4AaABAg,"Finally we have a great explanation to generators. I knew about these for quite some time but since they are not much used, had limited knowledge on how to make them work with complex things, especially async ones. Great session.",1 day ago,Rishabh Kalra,UCDQ2Cg8Dz1Fi1dXRX0st5aA,3,https://yt3.ggpht.com/ytc/AKedOLT2Vui6_0nXnBuZ5ludRH9Gr3aKslfeMbORpGkxoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaQ1b_zu3phBJEZrN4AaABAg,Another excellent talk. I'd recommend a talk she has about functional programming. She is a super good communicator!,2 days ago,LsMor,UCqHBplzpHRpoWTWXxSNDTDg,0,https://yt3.ggpht.com/ytc/AKedOLQ5aUrnw8kqYY40DsIFGXQLG--hiCcpCc-seg=s176-c-k-c0x00ffffff-no-rj,0.0
UgynITBxFnZUuU6lDDN4AaABAg,Amazing stuff! One of the best talks ever! 🙌,3 days ago,ADK,UCl3ABU1ONeQVJhR4rFdM2kw,0,https://yt3.ggpht.com/ytc/AKedOLQ5CGRfyaz7bk55rFkWc49S8mwcD4hl3_Qh27VgP8_uxNFxg6rVf7mAOPsV5ePn=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBV3jUOp0JbzARWr94AaABAg,"awesome Anjana Vakil, thanks for this masterclass",1 day ago,Matias Gummá,UCn8SoLiIJj9SUSDJ3oJmfIQ,0,https://yt3.ggpht.com/ytc/AKedOLSwZeRUCOyikqR7ERd1WWH4gMGF3Uq7adE2cdVi=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxkjq1Mi2ida9q_s-V4AaABAg,I studied generators few years ago but this explanation is so fun man,1 day ago,VkD,UCe246VfdqaTAv0KfzvBrnzA,0,https://yt3.ggpht.com/ytc/AKedOLS7kFIGWkuI4UjqxrUi8W2Xo-oE6S-a4PLPNVIEtfE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy67xI3klEG6VKWRht4AaABAg,Anjana has aged gracefully since her functional programming talk!,18 hours ago,Danish Khan,UCZbPQxvDh3qcx4CnGlLI19A,0,https://yt3.ggpht.com/23CHpQICRdpqn2PSOo2j_TvNAyhscnQD6JRMS1646fNemZuuxvD3bCov4U-BWkhjT9T09aDc4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAv5NrK3mFkIQwE8l4AaABAg,We want more conf with her !,5 days ago,J,UCZnqn_esAUEHTlAFbNh5bpA,7,https://yt3.ggpht.com/ytc/AKedOLSI3b-FkCEx6Sq6rZbq0_jmKIrnjW5kPaV0V5Af8n9kyqXZ_Dg5BbCAjfhAbEwr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBJzbfVqgLIPhn1wt4AaABAg,Thank you for speaking in this video.   I have never heard of generators but now I am curious.  Thank you.,4 days ago,C M,UCaoUb1wneO0wilTo5B54ssA,0,https://yt3.ggpht.com/ytc/AKedOLTVu5luvWM_xREwOn3I89JOl1S1pyPWF6gyKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-BS0JSu-1s-u_ZWZ4AaABAg,"not sure if python stole from js or the other way around, but they seem to look and function identically. very fun to use, but easy to create unreasonable code imo.",1 day ago,Renê Couto e Silva,UCxpmbb8jA74lWF2amizDp4w,0,https://yt3.ggpht.com/ytc/AKedOLSFYAG-CU3oiv4R0WApuAcRonQyUVgcP5xVTA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0PKqyRCOWocXbyCt4AaABAg,I can only imagine confusion of my colleagues at work when they see generator function in my next pull request...,4 days ago,Orlov Egor,UCCIeyHrafl_WwMre627RovQ,32,https://yt3.ggpht.com/ytc/AKedOLQJOfRq-AUD4a2M1cwsZfhFslRS9K89umJMPPYDUQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8J-9qjCyvnXmpcwt4AaABAg,Anjana is very energetic which makes the presentation interesting!,4 days ago,Asmit Basu.,UCimutcufi2rBPxZDr4iUQrw,4,https://yt3.ggpht.com/ytc/AKedOLRo-j2dtaBErne5r5h1UzZkmAYPcUiSinPG9o-pJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJq5JIdGyl8t_FZyl4AaABAg,she is back,6 days ago,i learned today,UCbTEE0lz6nYl0GJiZw0m8EA,104,https://yt3.ggpht.com/ytc/AKedOLRIJwbPEzXMVF64VHe1XW4jKICNAsJ_U0VBcFy7IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgArV7sBCK_FRREIh4AaABAg,I knew I recognised her from the Functional Programming talk I saw years ago! It's one of the first talks I ever saw and it drove me to learn more JS! Go Anjana!,6 days ago,Eddy Vinck,UCXhcecEyI1QrDvpTZiwZyFQ,162,https://yt3.ggpht.com/ytc/AKedOLQ2sc11Uybz4Mts4oLznpbh1qfdJGidLRVXhaB5Mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTzoUZZ7syfwzSmoJ4AaABAg,Brilliant talk. Please keep the code being talked about on the screen!,3 days ago,Rolland Bryan,UCroG7GWkEDYlP4aJjaX-88w,12,https://yt3.ggpht.com/ytc/AKedOLQmuKYoMxRAeUNLVPRpVE84LEzcjNph81YkdQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9zW75dn4q3vid9GB4AaABAg,I love her energy. Great presentation too! I've always struggled understanding generators.,4 days ago,PlayStreams,UCfaZihOsU5as-G5cnXkweUw,11,https://yt3.ggpht.com/960r9oBvK00ssH82S_Ourks_6UodjCJnIiIB5LzVdCxsvDj4oIWS7aCVI2oZFmzKM9dFFZhDYw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHD8itP8bQaZ7dD5R4AaABAg,"Very good intro. And yes you're totally right, generators are underused. Very much appreciate your talk!",6 days ago,Tim Jagodzinski,UCakAB-EynAxF-2vM0lY4XjQ,14,https://yt3.ggpht.com/ytc/AKedOLRnfsgv7ldG7sFmSbNVsuzMif95VDwLgRWiEVKObkU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdgdXzDhLu_kdRXR14AaABAg,"Such a nice talk, it's a shame that the person that editted it made a lot of cuts when code was presented and instead showed audience from the back...",6 days ago,Damian S.,UC9EJq4g3WeSKw-5Vx1xMW6w,53,https://yt3.ggpht.com/ytc/AKedOLQm6wQaslRtmfLn3y7TDyyWeeFzAtt2MY4h3WrnUA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmkOQfyuX1Y5sTOJt4AaABAg,"This is a great talk! However I always think back to the JS platform docs at my second job (at a very  large company).... "" Generators: Don't use generators."" 
And it still makes sense because no matter what you do you'll always end up with code that's ""too clever"".",3 days ago,phanCAbe,UCiLWiC8yCFMTZIR9BqgE6fA,9,https://yt3.ggpht.com/ytc/AKedOLSELFMIxG2ChCDLNVpgTyd-MA3tXspEHiJzwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaQ1b_zu3phBJEZrN4AaABAg,Another excellent talk. I'd recommend a talk she has about functional programming. She is a super good communicator!,2 days ago,LsMor,UCqHBplzpHRpoWTWXxSNDTDg,0,https://yt3.ggpht.com/ytc/AKedOLQ5aUrnw8kqYY40DsIFGXQLG--hiCcpCc-seg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxf-eYtbW7552v64Th4AaABAg,Taking from infinite sequences absolutely blew my mind! Thanks for sharing 😊,2 days ago,Kevin Andrews,UC4prqSUNA3ZX-3UWTrXdYzA,1,https://yt3.ggpht.com/ytc/AKedOLSorvx0XXc3EfKxITL2eVwEgK9LUxihWZLbQQ47_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzI7MJI1Cok8_HrNWJ4AaABAg,"It was so exciting it ended in a blink of an eye. Thanks Anjana, generators have big potential. I’m gonna experiment with them, doing state manager and renderer.",5 days ago,Alex Chugaev,UCI26kw6B8EU55agm2O37_-g,0,https://yt3.ggpht.com/ytc/AKedOLRpqj3iBPBBnx5TANK3Pj7GU7V3tRsEQnICwHL2-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-aKm7nVnA3QJ1E8t4AaABAg,"Finally we have a great explanation to generators. I knew about these for quite some time but since they are not much used, had limited knowledge on how to make them work with complex things, especially async ones. Great session.",1 day ago,Rishabh Kalra,UCDQ2Cg8Dz1Fi1dXRX0st5aA,3,https://yt3.ggpht.com/ytc/AKedOLT2Vui6_0nXnBuZ5ludRH9Gr3aKslfeMbORpGkxoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgynITBxFnZUuU6lDDN4AaABAg,Amazing stuff! One of the best talks ever! 🙌,3 days ago,ADK,UCl3ABU1ONeQVJhR4rFdM2kw,0,https://yt3.ggpht.com/ytc/AKedOLQ5CGRfyaz7bk55rFkWc49S8mwcD4hl3_Qh27VgP8_uxNFxg6rVf7mAOPsV5ePn=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBV3jUOp0JbzARWr94AaABAg,"awesome Anjana Vakil, thanks for this masterclass",1 day ago,Matias Gummá,UCn8SoLiIJj9SUSDJ3oJmfIQ,0,https://yt3.ggpht.com/ytc/AKedOLSwZeRUCOyikqR7ERd1WWH4gMGF3Uq7adE2cdVi=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-BS0JSu-1s-u_ZWZ4AaABAg,"not sure if python stole from js or the other way around, but they seem to look and function identically. very fun to use, but easy to create unreasonable code imo.",1 day ago,Renê Couto e Silva,UCxpmbb8jA74lWF2amizDp4w,0,https://yt3.ggpht.com/ytc/AKedOLSFYAG-CU3oiv4R0WApuAcRonQyUVgcP5xVTA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy67xI3klEG6VKWRht4AaABAg,Anjana has aged gracefully since her functional programming talk!,19 hours ago,Danish Khan,UCZbPQxvDh3qcx4CnGlLI19A,0,https://yt3.ggpht.com/23CHpQICRdpqn2PSOo2j_TvNAyhscnQD6JRMS1646fNemZuuxvD3bCov4U-BWkhjT9T09aDc4w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxkjq1Mi2ida9q_s-V4AaABAg,I studied generators few years ago but this explanation is so fun man,1 day ago,VkD,UCe246VfdqaTAv0KfzvBrnzA,0,https://yt3.ggpht.com/ytc/AKedOLS7kFIGWkuI4UjqxrUi8W2Xo-oE6S-a4PLPNVIEtfE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAv5NrK3mFkIQwE8l4AaABAg,We want more conf with her !,5 days ago,J,UCZnqn_esAUEHTlAFbNh5bpA,7,https://yt3.ggpht.com/ytc/AKedOLSI3b-FkCEx6Sq6rZbq0_jmKIrnjW5kPaV0V5Af8n9kyqXZ_Dg5BbCAjfhAbEwr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBJzbfVqgLIPhn1wt4AaABAg,Thank you for speaking in this video.   I have never heard of generators but now I am curious.  Thank you.,4 days ago,C M,UCaoUb1wneO0wilTo5B54ssA,0,https://yt3.ggpht.com/ytc/AKedOLTVu5luvWM_xREwOn3I89JOl1S1pyPWF6gyKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0PKqyRCOWocXbyCt4AaABAg,I can only imagine confusion of my colleagues at work when they see generator function in my next pull request...,4 days ago,Orlov Egor,UCCIeyHrafl_WwMre627RovQ,32,https://yt3.ggpht.com/ytc/AKedOLQJOfRq-AUD4a2M1cwsZfhFslRS9K89umJMPPYDUQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8J-9qjCyvnXmpcwt4AaABAg,Anjana is very energetic which makes the presentation interesting!,4 days ago,Asmit Basu.,UCimutcufi2rBPxZDr4iUQrw,4,https://yt3.ggpht.com/ytc/AKedOLRo-j2dtaBErne5r5h1UzZkmAYPcUiSinPG9o-pJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJq5JIdGyl8t_FZyl4AaABAg,she is back,6 days ago,i learned today,UCbTEE0lz6nYl0GJiZw0m8EA,108,https://yt3.ggpht.com/ytc/AKedOLRIJwbPEzXMVF64VHe1XW4jKICNAsJ_U0VBcFy7IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgArV7sBCK_FRREIh4AaABAg,I knew I recognised her from the Functional Programming talk I saw years ago! It's one of the first talks I ever saw and it drove me to learn more JS! Go Anjana!,6 days ago,Eddy Vinck,UCXhcecEyI1QrDvpTZiwZyFQ,168,https://yt3.ggpht.com/ytc/AKedOLQ2sc11Uybz4Mts4oLznpbh1qfdJGidLRVXhaB5Mg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9zW75dn4q3vid9GB4AaABAg,I love her energy. Great presentation too! I've always struggled understanding generators.,4 days ago,PlayStreams,UCfaZihOsU5as-G5cnXkweUw,13,https://yt3.ggpht.com/960r9oBvK00ssH82S_Ourks_6UodjCJnIiIB5LzVdCxsvDj4oIWS7aCVI2oZFmzKM9dFFZhDYw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHD8itP8bQaZ7dD5R4AaABAg,"Very good intro. And yes you're totally right, generators are underused. Very much appreciate your talk!",6 days ago,Tim Jagodzinski,UCakAB-EynAxF-2vM0lY4XjQ,14,https://yt3.ggpht.com/ytc/AKedOLRnfsgv7ldG7sFmSbNVsuzMif95VDwLgRWiEVKObkU=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTzoUZZ7syfwzSmoJ4AaABAg,Brilliant talk. Please keep the code being talked about on the screen!,3 days ago,Rolland Bryan,UCroG7GWkEDYlP4aJjaX-88w,13,https://yt3.ggpht.com/ytc/AKedOLQmuKYoMxRAeUNLVPRpVE84LEzcjNph81YkdQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdgdXzDhLu_kdRXR14AaABAg,"Such a nice talk, it's a shame that the person that editted it made a lot of cuts when code was presented and instead showed audience from the back...",6 days ago,Damian S.,UC9EJq4g3WeSKw-5Vx1xMW6w,53,https://yt3.ggpht.com/ytc/AKedOLQm6wQaslRtmfLn3y7TDyyWeeFzAtt2MY4h3WrnUA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmkOQfyuX1Y5sTOJt4AaABAg,"This is a great talk! However I always think back to the JS platform docs at my second job (at a very  large company).... "" Generators: Don't use generators."" 
And it still makes sense because no matter what you do you'll always end up with code that's ""too clever"".",4 days ago,phanCAbe,UCiLWiC8yCFMTZIR9BqgE6fA,9,https://yt3.ggpht.com/ytc/AKedOLSELFMIxG2ChCDLNVpgTyd-MA3tXspEHiJzwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaQ1b_zu3phBJEZrN4AaABAg,Another excellent talk. I'd recommend a talk she has about functional programming. She is a super good communicator!,2 days ago,LsMor,UCqHBplzpHRpoWTWXxSNDTDg,0,https://yt3.ggpht.com/ytc/AKedOLQ5aUrnw8kqYY40DsIFGXQLG--hiCcpCc-seg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxf-eYtbW7552v64Th4AaABAg,Taking from infinite sequences absolutely blew my mind! Thanks for sharing 😊,2 days ago,Kevin Andrews,UC4prqSUNA3ZX-3UWTrXdYzA,1,https://yt3.ggpht.com/ytc/AKedOLSorvx0XXc3EfKxITL2eVwEgK9LUxihWZLbQQ47_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzI7MJI1Cok8_HrNWJ4AaABAg,"It was so exciting it ended in a blink of an eye. Thanks Anjana, generators have big potential. I’m gonna experiment with them, doing state manager and renderer.",5 days ago,Alex Chugaev,UCI26kw6B8EU55agm2O37_-g,0,https://yt3.ggpht.com/ytc/AKedOLRpqj3iBPBBnx5TANK3Pj7GU7V3tRsEQnICwHL2-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-aKm7nVnA3QJ1E8t4AaABAg,"Finally we have a great explanation to generators. I knew about these for quite some time but since they are not much used, had limited knowledge on how to make them work with complex things, especially async ones. Great session.",2 days ago,Rishabh Kalra,UCDQ2Cg8Dz1Fi1dXRX0st5aA,3,https://yt3.ggpht.com/ytc/AKedOLT2Vui6_0nXnBuZ5ludRH9Gr3aKslfeMbORpGkxoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgynITBxFnZUuU6lDDN4AaABAg,Amazing stuff! One of the best talks ever! 🙌,3 days ago,ADK,UCl3ABU1ONeQVJhR4rFdM2kw,0,https://yt3.ggpht.com/ytc/AKedOLQ5CGRfyaz7bk55rFkWc49S8mwcD4hl3_Qh27VgP8_uxNFxg6rVf7mAOPsV5ePn=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-BS0JSu-1s-u_ZWZ4AaABAg,"not sure if python stole from js or the other way around, but they seem to look and function identically. very fun to use, but easy to create unreasonable code imo.",1 day ago,Renê Couto e Silva,UCxpmbb8jA74lWF2amizDp4w,0,https://yt3.ggpht.com/ytc/AKedOLSFYAG-CU3oiv4R0WApuAcRonQyUVgcP5xVTA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy67xI3klEG6VKWRht4AaABAg,Anjana has aged gracefully since her functional programming talk!,1 day ago,Danish Khan,UCZbPQxvDh3qcx4CnGlLI19A,0,https://yt3.ggpht.com/23CHpQICRdpqn2PSOo2j_TvNAyhscnQD6JRMS1646fNemZuuxvD3bCov4U-BWkhjT9T09aDc4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBV3jUOp0JbzARWr94AaABAg,"awesome Anjana Vakil, thanks for this masterclass",1 day ago,Matias Gummá,UCn8SoLiIJj9SUSDJ3oJmfIQ,0,https://yt3.ggpht.com/ytc/AKedOLSwZeRUCOyikqR7ERd1WWH4gMGF3Uq7adE2cdVi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBJzbfVqgLIPhn1wt4AaABAg,Thank you for speaking in this video.   I have never heard of generators but now I am curious.  Thank you.,4 days ago,C M,UCaoUb1wneO0wilTo5B54ssA,1,https://yt3.ggpht.com/ytc/AKedOLTVu5luvWM_xREwOn3I89JOl1S1pyPWF6gyKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxkjq1Mi2ida9q_s-V4AaABAg,I studied generators few years ago but this explanation is so fun man,1 day ago,VkD,UCe246VfdqaTAv0KfzvBrnzA,0,https://yt3.ggpht.com/ytc/AKedOLS7kFIGWkuI4UjqxrUi8W2Xo-oE6S-a4PLPNVIEtfE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0PKqyRCOWocXbyCt4AaABAg,I can only imagine confusion of my colleagues at work when they see generator function in my next pull request...,4 days ago,Orlov Egor,UCCIeyHrafl_WwMre627RovQ,34,https://yt3.ggpht.com/ytc/AKedOLQJOfRq-AUD4a2M1cwsZfhFslRS9K89umJMPPYDUQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAv5NrK3mFkIQwE8l4AaABAg,We want more conf with her !,6 days ago,J,UCZnqn_esAUEHTlAFbNh5bpA,7,https://yt3.ggpht.com/ytc/AKedOLSI3b-FkCEx6Sq6rZbq0_jmKIrnjW5kPaV0V5Af8n9kyqXZ_Dg5BbCAjfhAbEwr=s176-c-k-c0x00ffffff-no-rj,0.0
